Cluster,Lat,Long,Region Name_encoded,Suburb_encoded,Brand Name_encoded,Unleaded 91,Date,Month,Weekday_Num,Day_of_the_week_Label
0,-12.45573160334789,130.8378640986172,0.0,2.6231804949053856,1.581513828238719,138.93311856750364,15.829330422125182,6.383369723435226,2.9967248908296944,2.9967248908296944
1,-12.475408741598104,130.9754641858876,0.8853716357551248,17.435364663226885,3.5773253381676198,136.95863259907964,23.864593501603682,6.51499093571329,3.0057174731557663,3.0057174731557663
2,-12.412376114523292,130.87252866351696,0.0,13.575734668808467,5.669658886894076,184.0908871078144,12.351885098743267,5.4409902674099975,2.9737314561088537,2.9737314561088537
3,-12.40953101525461,130.8751987255268,0.0,13.36556189640035,4.011523266022827,165.14309029082528,24.213454784899035,9.80805531167691,2.985184372256365,2.985184372256365
4,-12.474886847143514,130.97564278955429,0.887272170317047,17.153622300505436,5.049318425486292,186.8983479633941,15.627354878235565,6.814366671772094,2.9860621841017,2.9860621841017
5,-12.408875378977397,130.87891915470703,0.0,10.919354838709678,3.3224709238534125,137.88700156868552,5.80239192451174,5.512288786482335,3.0014263770024137,3.0014263770024137
6,-12.407934079167477,130.87856048443882,0.0,10.937463528496401,3.3267846722427543,140.8346493490566,11.951176813849445,7.551838163781365,3.003793036374246,3.003793036374246
7,-12.447750280235583,130.91636912313382,0.03780304067935899,13.680180797151076,3.779345295165046,0.015463635118476923,15.781536775784138,6.457471579235722,2.9978085193809068,2.9978085193809068
8,-12.47725331264706,130.97908710367648,0.9577941176470588,17.82264705882353,3.5127941176470587,136.90813162794117,8.03,6.191911764705883,2.9883823529411764,2.9883823529411764
9,-12.405740580901599,130.87695975986426,0.0,10.186815317498787,3.275811924381968,137.27764507464858,24.035870092098886,4.306640814348037,3.007174018419777,3.007174018419777
